step	T	P	Q	Emptymeas	CalcC_atrazin_343324	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-1.69833584	0	0.23	NaN	0	0	0	0	0	0	0	0	0
1	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
2	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
3	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
4	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
5	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
6	-1.69833584	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
7	-1.69833584	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
8	-1.69833584	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
9	-1.69833584	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
10	-1.69833584	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
11	-1.69833584	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
12	-1.69833584	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
13	-1.69833584	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
14	-1.69833584	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
15	-1.69833584	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
16	-1.69833584	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
17	-1.69833584	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
18	-1.69833584	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
19	-1.69833584	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
20	-1.69833584	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
21	-1.69833584	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
22	-1.69833584	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
23	-1.69833584	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
24	-1.01833586	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
25	-1.01833586	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
26	-1.01833586	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
27	-1.01833586	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
28	-1.01833586	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
29	-1.01833586	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
30	-1.01833586	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
31	-1.01833586	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
32	-1.01833586	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
33	-1.01833586	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
34	-1.01833586	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
35	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
36	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
37	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
38	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
39	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
40	-1.01833586	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
41	-1.01833586	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
42	-1.01833586	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
43	-1.01833586	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
44	-1.01833586	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
45	-1.01833586	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
46	-1.01833586	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
47	-1.01833586	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
48	-6.40833574	0	0.13	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-6.40833574	0	0.13	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-6.40833574	0	0.13	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-6.40833574	0	0.12	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-6.40833574	0	0.12	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-6.40833574	0	0.12	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-6.40833574	0	0.12	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-6.40833574	0	0.11	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-6.40833574	0	0.11	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-6.40833574	0	0.11	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-6.40833574	0	0.11	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-6.40833574	0	0.11	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-6.40833574	0.24	0.11	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
68	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
69	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
70	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
71	-6.40833574	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
72	-7.40833571	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
73	-7.40833571	0	0.1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
74	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
75	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
76	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
77	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
78	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
79	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
80	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
81	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
82	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
83	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
84	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
85	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
86	-7.40833571	0	0.09	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
87	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
88	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
89	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
90	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
91	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
92	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
93	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
94	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
95	-7.40833571	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
96	-5.38833576	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
97	-5.38833576	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
98	-5.38833576	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
99	-5.38833576	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
100	-5.38833576	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
101	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
102	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
103	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
104	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
105	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
106	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
107	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
108	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
109	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
110	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
111	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
112	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
113	-5.38833576	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
